method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid
euler,2,0.3,0.01,64,mpf,10.762959
euler,2,0.3,1.0,64,barker,10.613856
euler,2,0.3,1.0,128,forward_backward,10.466668
euler,2,0.3,0.01,128,mpf,10.382863
euler,2,0.3,1.0,128,barker,10.096696
euler,2,0.3,5.0,16,forward_backward,17.294262
euler,2,0.3,0.05,16,mpf,10.281465
euler,2,0.3,5.0,16,barker,16.998602
euler,2,0.3,5.0,32,forward_backward,11.115768
euler,2,0.3,0.05,32,mpf,9.542211
euler,2,0.3,5.0,32,barker,13.200726
euler,2,0.3,5.0,64,forward_backward,9.35845
euler,2,0.3,0.05,64,mpf,9.319961
euler,2,0.3,5.0,64,barker,10.519109
euler,2,0.3,5.0,128,forward_backward,8.85788
euler,2,0.3,0.05,128,mpf,9.308742
euler,2,0.3,5.0,128,barker,9.536053
